Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,TelecomB-DB-1,Ethernet1,mlag_peer,TelecomB-DB-2,Ethernet1,True
l3leaf,TelecomB-DB-1,Ethernet2,spine,TelecomB-DS-1,Ethernet7,True
l3leaf,TelecomB-DB-1,Ethernet3,spine,TelecomB-DS-2,Ethernet7,True
l3leaf,TelecomB-DB-1,Ethernet4,other,AOC-DB-1,Ethernet4,True
l3leaf,TelecomB-DB-1,Ethernet6,mlag_peer,TelecomB-DB-2,Ethernet6,True
l3leaf,TelecomB-DB-2,Ethernet1,mlag_peer,TelecomB-DB-1,Ethernet1,True
l3leaf,TelecomB-DB-2,Ethernet2,spine,TelecomB-DS-1,Ethernet8,True
l3leaf,TelecomB-DB-2,Ethernet3,spine,TelecomB-DS-2,Ethernet8,True
l3leaf,TelecomB-DB-2,Ethernet5,other,AOC-DB-2,Ethernet5,True
l3leaf,TelecomB-DB-2,Ethernet6,mlag_peer,TelecomB-DB-1,Ethernet6,True
l3leaf,TelecomB-DL-1,Ethernet1,mlag_peer,TelecomB-DL-2,Ethernet1,True
l3leaf,TelecomB-DL-1,Ethernet2,spine,TelecomB-DS-1,Ethernet4,True
l3leaf,TelecomB-DL-1,Ethernet3,spine,TelecomB-DS-2,Ethernet4,True
l3leaf,TelecomB-DL-1,Ethernet4,server,TelecomB-HOST-2,eth1,True
l3leaf,TelecomB-DL-1,Ethernet6,mlag_peer,TelecomB-DL-2,Ethernet6,True
l3leaf,TelecomB-DL-2,Ethernet1,mlag_peer,TelecomB-DL-1,Ethernet1,True
l3leaf,TelecomB-DL-2,Ethernet2,spine,TelecomB-DS-1,Ethernet5,True
l3leaf,TelecomB-DL-2,Ethernet3,spine,TelecomB-DS-2,Ethernet5,True
l3leaf,TelecomB-DL-2,Ethernet4,server,TelecomB-HOST-2,eth2,True
l3leaf,TelecomB-DL-2,Ethernet6,mlag_peer,TelecomB-DL-1,Ethernet6,True
spine,TelecomB-DS-1,Ethernet2,l3leaf,TelecomB-DV-1,Ethernet2,True
spine,TelecomB-DS-1,Ethernet3,l3leaf,TelecomB-DV-2,Ethernet2,True
spine,TelecomB-DS-1,Ethernet4,l3leaf,TelecomB-DL-1,Ethernet2,True
spine,TelecomB-DS-1,Ethernet5,l3leaf,TelecomB-DL-2,Ethernet2,True
spine,TelecomB-DS-1,Ethernet7,l3leaf,TelecomB-DB-1,Ethernet2,True
spine,TelecomB-DS-1,Ethernet8,l3leaf,TelecomB-DB-2,Ethernet2,True
spine,TelecomB-DS-2,Ethernet2,l3leaf,TelecomB-DV-1,Ethernet3,True
spine,TelecomB-DS-2,Ethernet3,l3leaf,TelecomB-DV-2,Ethernet3,True
spine,TelecomB-DS-2,Ethernet4,l3leaf,TelecomB-DL-1,Ethernet3,True
spine,TelecomB-DS-2,Ethernet5,l3leaf,TelecomB-DL-2,Ethernet3,True
spine,TelecomB-DS-2,Ethernet7,l3leaf,TelecomB-DB-1,Ethernet3,True
spine,TelecomB-DS-2,Ethernet8,l3leaf,TelecomB-DB-2,Ethernet3,True
l3leaf,TelecomB-DV-1,Ethernet1,mlag_peer,TelecomB-DV-2,Ethernet1,True
l3leaf,TelecomB-DV-1,Ethernet2,spine,TelecomB-DS-1,Ethernet2,True
l3leaf,TelecomB-DV-1,Ethernet3,spine,TelecomB-DS-2,Ethernet2,True
l3leaf,TelecomB-DV-1,Ethernet4,server,TelecomB-HOST-1,eth1,True
l3leaf,TelecomB-DV-1,Ethernet6,mlag_peer,TelecomB-DV-2,Ethernet6,True
l3leaf,TelecomB-DV-2,Ethernet1,mlag_peer,TelecomB-DV-1,Ethernet1,True
l3leaf,TelecomB-DV-2,Ethernet2,spine,TelecomB-DS-1,Ethernet3,True
l3leaf,TelecomB-DV-2,Ethernet3,spine,TelecomB-DS-2,Ethernet3,True
l3leaf,TelecomB-DV-2,Ethernet4,server,TelecomB-HOST-1,eth2,True
l3leaf,TelecomB-DV-2,Ethernet6,mlag_peer,TelecomB-DV-1,Ethernet6,True
